nyr:,200
SLR (m), Pchng (cm), pi_0, N_d, SD, SE,min,max
0.320, 0.000, 0.2,  3.020,  1.897,  0.134,  0.000, 10.000
0.320, 0.000, 0.3,  2.830,  1.849,  0.131,  0.000, 10.000
0.320, 0.000, 0.4,  2.630,  1.711,  0.121,  0.000,  9.000
0.320, 0.000, 0.5,  2.470,  1.629,  0.115,  0.000,  8.000
0.340, 0.000, 0.1,  3.650,  2.071,  0.146,  0.000, 10.000
0.340, 0.000, 0.2,  3.280,  1.970,  0.139,  0.000, 10.000
0.340, 0.000, 0.3,  3.055,  1.900,  0.134,  0.000, 10.000
0.340, 0.000, 0.4,  2.875,  1.875,  0.133,  0.000, 10.000
0.340, 0.000, 0.5,  2.715,  1.780,  0.126,  0.000, 10.000
0.360, 0.000, 0.1,  4.110,  2.257,  0.160,  0.000, 11.000
0.360, 0.000, 0.2,  3.590,  2.070,  0.146,  0.000, 10.000
0.360, 0.000, 0.3,  3.345,  2.002,  0.142,  0.000, 10.000
0.360, 0.000, 0.4,  3.125,  1.899,  0.134,  0.000, 10.000
0.360, 0.000, 0.5,  2.970,  1.894,  0.134,  0.000, 10.000
0.380, 0.000, 0.1,  4.590,  2.392,  0.169,  0.000, 11.000
0.380, 0.000, 0.2,  4.000,  2.221,  0.157,  0.000, 11.000
0.380, 0.000, 0.3,  3.630,  2.070,  0.146,  0.000, 10.000
0.380, 0.000, 0.4,  3.445,  2.012,  0.142,  0.000, 10.000
0.380, 0.000, 0.5,  3.220,  1.937,  0.137,  0.000, 10.000
0.400, 0.000, 0.1,  5.185,  2.587,  0.183,  0.000, 12.000
0.400, 0.000, 0.2,  4.470,  2.393,  0.169,  0.000, 11.000
0.400, 0.000, 0.3,  4.065,  2.231,  0.158,  0.000, 11.000
0.400, 0.000, 0.4,  3.735,  2.102,  0.149,  0.000, 10.000
0.400, 0.000, 0.5,  3.520,  2.042,  0.144,  0.000, 10.000
0.420, 0.000, 0.1,  5.895,  2.784,  0.197,  0.000, 13.000
0.420, 0.000, 0.2,  5.025,  2.505,  0.177,  0.000, 12.000
0.420, 0.000, 0.3,  4.550,  2.389,  0.169,  0.000, 11.000
0.420, 0.000, 0.4,  4.185,  2.286,  0.162,  0.000, 11.000
0.420, 0.000, 0.5,  3.925,  2.171,  0.154,  0.000, 11.000
0.440, 0.000, 0.1,  6.850,  2.905,  0.205,  1.000, 15.000
0.440, 0.000, 0.2,  5.690,  2.743,  0.194,  0.000, 12.000
0.440, 0.000, 0.3,  5.130,  2.564,  0.181,  0.000, 12.000
0.440, 0.000, 0.4,  4.705,  2.441,  0.173,  0.000, 11.000
0.440, 0.000, 0.5,  4.385,  2.320,  0.164,  0.000, 11.000
0.460, 0.000, 0.1,  7.730,  3.102,  0.219,  1.000, 16.000
0.460, 0.000, 0.2,  6.590,  2.895,  0.205,  0.000, 15.000
0.460, 0.000, 0.3,  5.805,  2.779,  0.197,  0.000, 12.000
0.460, 0.000, 0.4,  5.335,  2.655,  0.188,  0.000, 12.000
0.460, 0.000, 0.5,  4.900,  2.498,  0.177,  0.000, 12.000
0.480, 0.000, 0.1,  8.880,  3.280,  0.232,  2.000, 19.000
0.480, 0.000, 0.2,  7.505,  3.079,  0.218,  1.000, 16.000
0.480, 0.000, 0.3,  6.725,  2.899,  0.205,  1.000, 15.000
0.480, 0.000, 0.4,  6.100,  2.811,  0.199,  0.000, 14.000
0.480, 0.000, 0.5,  5.590,  2.713,  0.192,  0.000, 12.000
0.500, 0.000, 0.1, 10.220,  3.480,  0.246,  3.000, 20.000
0.500, 0.000, 0.2,  8.640,  3.278,  0.232,  2.000, 19.000
0.500, 0.000, 0.3,  7.630,  3.087,  0.218,  1.000, 16.000
0.500, 0.000, 0.4,  7.020,  2.936,  0.208,  1.000, 15.000
0.500, 0.000, 0.5,  6.405,  2.864,  0.203,  0.000, 14.000
0.000, 0.050, 0.1,  0.455,  0.693,  0.049,  0.000,  4.000
0.000, 0.050, 0.2,  0.385,  0.599,  0.042,  0.000,  3.000
0.000, 0.050, 0.3,  0.350,  0.582,  0.041,  0.000,  3.000
0.000, 0.050, 0.4,  0.290,  0.517,  0.037,  0.000,  2.000
0.000, 0.050, 0.5,  0.270,  0.508,  0.036,  0.000,  2.000
0.020, 0.050, 0.1,  0.560,  0.781,  0.055,  0.000,  4.000
0.020, 0.050, 0.2,  0.465,  0.694,  0.049,  0.000,  4.000
0.020, 0.050, 0.3,  0.410,  0.620,  0.044,  0.000,  3.000
0.020, 0.050, 0.4,  0.380,  0.606,  0.043,  0.000,  3.000
0.020, 0.050, 0.5,  0.340,  0.562,  0.040,  0.000,  2.000
0.040, 0.050, 0.1,  0.665,  0.858,  0.061,  0.000,  4.000
0.040, 0.050, 0.2,  0.550,  0.768,  0.054,  0.000,  4.000
0.040, 0.050, 0.3,  0.485,  0.709,  0.050,  0.000,  4.000
0.040, 0.050, 0.4,  0.455,  0.640,  0.045,  0.000,  3.000
0.040, 0.050, 0.5,  0.425,  0.638,  0.045,  0.000,  3.000
0.060, 0.050, 0.1,  0.725,  0.874,  0.062,  0.000,  4.000
0.060, 0.050, 0.2,  0.640,  0.833,  0.059,  0.000,  4.000
0.060, 0.050, 0.3,  0.575,  0.786,  0.056,  0.000,  4.000
0.060, 0.050, 0.4,  0.520,  0.736,  0.052,  0.000,  4.000
0.060, 0.050, 0.5,  0.480,  0.672,  0.048,  0.000,  3.000
0.080, 0.050, 0.1,  0.900,  0.982,  0.069,  0.000,  5.000
0.080, 0.050, 0.2,  0.725,  0.868,  0.061,  0.000,  4.000
0.080, 0.050, 0.3,  0.680,  0.843,  0.060,  0.000,  4.000
0.080, 0.050, 0.4,  0.625,  0.811,  0.057,  0.000,  4.000
0.080, 0.050, 0.5,  0.565,  0.767,  0.054,  0.000,  4.000
0.100, 0.050, 0.1,  1.060,  1.030,  0.073,  0.000,  5.000
0.100, 0.050, 0.2,  0.865,  0.949,  0.067,  0.000,  5.000
0.100, 0.050, 0.3,  0.775,  0.882,  0.062,  0.000,  4.000
0.100, 0.050, 0.4,  0.730,  0.872,  0.062,  0.000,  4.000
0.100, 0.050, 0.5,  0.685,  0.836,  0.059,  0.000,  4.000
0.120, 0.050, 0.1,  1.220,  1.113,  0.079,  0.000,  5.000
0.120, 0.050, 0.2,  1.040,  1.046,  0.074,  0.000,  5.000
0.120, 0.050, 0.3,  0.935,  1.008,  0.071,  0.000,  5.000
0.120, 0.050, 0.4,  0.810,  0.904,  0.064,  0.000,  4.000
0.120, 0.050, 0.5,  0.765,  0.908,  0.064,  0.000,  4.000
0.140, 0.050, 0.1,  1.450,  1.247,  0.088,  0.000,  6.000
0.140, 0.050, 0.2,  1.200,  1.103,  0.078,  0.000,  5.000
0.140, 0.050, 0.3,  1.100,  1.061,  0.075,  0.000,  5.000
0.140, 0.050, 0.4,  1.005,  1.025,  0.072,  0.000,  5.000
0.140, 0.050, 0.5,  0.870,  0.958,  0.068,  0.000,  5.000
0.160, 0.050, 0.1,  1.655,  1.344,  0.095,  0.000,  6.000
0.160, 0.050, 0.2,  1.440,  1.255,  0.089,  0.000,  6.000
0.160, 0.050, 0.3,  1.250,  1.133,  0.080,  0.000,  5.000
0.160, 0.050, 0.4,  1.155,  1.071,  0.076,  0.000,  5.000
0.160, 0.050, 0.5,  1.045,  1.048,  0.074,  0.000,  5.000
0.180, 0.050, 0.1,  1.830,  1.368,  0.097,  0.000,  6.000
0.180, 0.050, 0.2,  1.625,  1.320,  0.093,  0.000,  6.000
0.180, 0.050, 0.3,  1.465,  1.248,  0.088,  0.000,  6.000
0.180, 0.050, 0.4,  1.305,  1.166,  0.082,  0.000,  5.000
0.180, 0.050, 0.5,  1.210,  1.119,  0.079,  0.000,  5.000
0.200, 0.050, 0.1,  1.985,  1.387,  0.098,  0.000,  6.000
0.200, 0.050, 0.2,  1.785,  1.363,  0.096,  0.000,  6.000
0.200, 0.050, 0.3,  1.660,  1.320,  0.093,  0.000,  6.000
0.200, 0.050, 0.4,  1.525,  1.299,  0.092,  0.000,  6.000
0.200, 0.050, 0.5,  1.405,  1.228,  0.087,  0.000,  5.000
0.220, 0.050, 0.1,  2.185,  1.507,  0.107,  0.000,  7.000
0.220, 0.050, 0.2,  1.965,  1.419,  0.100,  0.000,  7.000
0.220, 0.050, 0.3,  1.840,  1.405,  0.099,  0.000,  7.000
0.220, 0.050, 0.4,  1.715,  1.387,  0.098,  0.000,  6.000
0.220, 0.050, 0.5,  1.645,  1.363,  0.096,  0.000,  6.000
0.240, 0.050, 0.1,  2.440,  1.622,  0.115,  0.000,  8.000
0.240, 0.050, 0.2,  2.185,  1.524,  0.108,  0.000,  7.000
0.240, 0.050, 0.3,  2.010,  1.425,  0.101,  0.000,  7.000
0.240, 0.050, 0.4,  1.905,  1.416,  0.100,  0.000,  7.000
0.240, 0.050, 0.5,  1.805,  1.413,  0.100,  0.000,  6.000
0.260, 0.050, 0.1,  2.690,  1.766,  0.125,  0.000,  9.000
0.260, 0.050, 0.2,  2.385,  1.612,  0.114,  0.000,  7.000
0.260, 0.050, 0.3,  2.215,  1.530,  0.108,  0.000,  7.000
0.260, 0.050, 0.4,  2.115,  1.501,  0.106,  0.000,  7.000
0.260, 0.050, 0.5,  1.975,  1.423,  0.101,  0.000,  7.000
0.280, 0.050, 0.1,  2.945,  1.903,  0.135,  0.000, 10.000
0.280, 0.050, 0.2,  2.620,  1.715,  0.121,  0.000,  9.000
0.280, 0.050, 0.3,  2.440,  1.637,  0.116,  0.000,  8.000
0.280, 0.050, 0.4,  2.265,  1.555,  0.110,  0.000,  7.000
0.280, 0.050, 0.5,  2.170,  1.531,  0.108,  0.000,  7.000
0.300, 0.050, 0.1,  3.195,  1.930,  0.136,  0.000, 10.000
0.300, 0.050, 0.2,  2.875,  1.889,  0.134,  0.000, 10.000
0.300, 0.050, 0.3,  2.660,  1.766,  0.125,  0.000,  9.000
0.300, 0.050, 0.4,  2.490,  1.644,  0.116,  0.000,  8.000
0.300, 0.050, 0.5,  2.355,  1.613,  0.114,  0.000,  7.000
0.320, 0.050, 0.1,  3.505,  2.045,  0.145,  0.000, 10.000
0.320, 0.050, 0.2,  3.125,  1.918,  0.136,  0.000, 10.000
0.320, 0.050, 0.3,  2.930,  1.896,  0.134,  0.000, 10.000
0.320, 0.050, 0.4,  2.750,  1.793,  0.127,  0.000, 10.000
0.320, 0.050, 0.5,  2.575,  1.664,  0.118,  0.000,  8.000
0.340, 0.050, 0.1,  3.870,  2.165,  0.153,  0.000, 11.000
0.340, 0.050, 0.2,  3.450,  2.019,  0.143,  0.000, 10.000
0.340, 0.050, 0.3,  3.165,  1.930,  0.136,  0.000, 10.000
0.340, 0.050, 0.4,  2.990,  1.910,  0.135,  0.000, 10.000
0.340, 0.050, 0.5,  2.845,  1.862,  0.132,  0.000, 10.000
0.360, 0.050, 0.1,  4.340,  2.358,  0.167,  0.000, 11.000
0.360, 0.050, 0.2,  3.740,  2.111,  0.149,  0.000, 10.000
0.360, 0.050, 0.3,  3.475,  2.047,  0.145,  0.000, 10.000
0.360, 0.050, 0.4,  3.250,  1.974,  0.140,  0.000, 10.000
0.360, 0.050, 0.5,  3.090,  1.916,  0.135,  0.000, 10.000
0.380, 0.050, 0.1,  4.825,  2.499,  0.177,  0.000, 12.000
0.380, 0.050, 0.2,  4.185,  2.282,  0.161,  0.000, 11.000
0.380, 0.050, 0.3,  3.805,  2.154,  0.152,  0.000, 10.000
0.380, 0.050, 0.4,  3.545,  2.061,  0.146,  0.000, 10.000
0.380, 0.050, 0.5,  3.380,  2.034,  0.144,  0.000, 10.000
0.400, 0.050, 0.1,  5.495,  2.727,  0.193,  0.000, 12.000
0.400, 0.050, 0.2,  4.695,  2.444,  0.173,  0.000, 11.000
0.400, 0.050, 0.3,  4.265,  2.337,  0.165,  0.000, 11.000
0.400, 0.050, 0.4,  3.965,  2.193,  0.155,  0.000, 11.000
