nyr:,200
SLR (m), Pchng (cm), pi_0, N_d, SD, SE,min,max
0.020, 0.500, 0.3,  0.675,  0.850,  0.060,  0.000,  4.000
0.020, 0.500, 0.4,  0.645,  0.838,  0.059,  0.000,  4.000
0.020, 0.500, 0.5,  0.595,  0.796,  0.056,  0.000,  4.000
0.040, 0.500, 0.1,  1.115,  1.081,  0.076,  0.000,  5.000
0.040, 0.500, 0.2,  0.945,  1.008,  0.071,  0.000,  5.000
0.040, 0.500, 0.3,  0.810,  0.948,  0.067,  0.000,  5.000
0.040, 0.500, 0.4,  0.725,  0.879,  0.062,  0.000,  4.000
0.040, 0.500, 0.5,  0.695,  0.869,  0.061,  0.000,  4.000
0.060, 0.500, 0.1,  1.335,  1.212,  0.086,  0.000,  6.000
0.060, 0.500, 0.2,  1.095,  1.059,  0.075,  0.000,  5.000
0.060, 0.500, 0.3,  0.980,  1.037,  0.073,  0.000,  5.000
0.060, 0.500, 0.4,  0.885,  0.998,  0.071,  0.000,  5.000
0.060, 0.500, 0.5,  0.765,  0.902,  0.064,  0.000,  4.000
0.080, 0.500, 0.1,  1.530,  1.268,  0.090,  0.000,  6.000
0.080, 0.500, 0.2,  1.295,  1.142,  0.081,  0.000,  5.000
0.080, 0.500, 0.3,  1.140,  1.056,  0.075,  0.000,  5.000
0.080, 0.500, 0.4,  1.040,  1.026,  0.073,  0.000,  5.000
0.080, 0.500, 0.5,  0.960,  1.002,  0.071,  0.000,  5.000
0.100, 0.500, 0.1,  1.725,  1.334,  0.094,  0.000,  6.000
0.100, 0.500, 0.2,  1.530,  1.280,  0.090,  0.000,  6.000
0.100, 0.500, 0.3,  1.380,  1.184,  0.084,  0.000,  5.000
0.100, 0.500, 0.4,  1.215,  1.102,  0.078,  0.000,  5.000
0.100, 0.500, 0.5,  1.135,  1.059,  0.075,  0.000,  5.000
0.120, 0.500, 0.1,  1.895,  1.354,  0.096,  0.000,  6.000
0.120, 0.500, 0.2,  1.700,  1.360,  0.096,  0.000,  6.000
0.120, 0.500, 0.3,  1.580,  1.312,  0.093,  0.000,  6.000
0.120, 0.500, 0.4,  1.445,  1.235,  0.087,  0.000,  6.000
0.120, 0.500, 0.5,  1.320,  1.164,  0.082,  0.000,  5.000
0.140, 0.500, 0.1,  2.125,  1.480,  0.105,  0.000,  7.000
0.140, 0.500, 0.2,  1.890,  1.374,  0.097,  0.000,  6.000
0.140, 0.500, 0.3,  1.745,  1.375,  0.097,  0.000,  6.000
0.140, 0.500, 0.4,  1.655,  1.347,  0.095,  0.000,  6.000
0.140, 0.500, 0.5,  1.525,  1.280,  0.090,  0.000,  6.000
0.160, 0.500, 0.1,  2.330,  1.570,  0.111,  0.000,  7.000
0.160, 0.500, 0.2,  2.110,  1.483,  0.105,  0.000,  7.000
0.160, 0.500, 0.3,  1.920,  1.387,  0.098,  0.000,  6.000
0.160, 0.500, 0.4,  1.835,  1.388,  0.098,  0.000,  6.000
0.160, 0.500, 0.5,  1.705,  1.370,  0.097,  0.000,  6.000
0.180, 0.500, 0.1,  2.585,  1.648,  0.117,  0.000,  7.000
0.180, 0.500, 0.2,  2.300,  1.553,  0.110,  0.000,  7.000
0.180, 0.500, 0.3,  2.160,  1.482,  0.105,  0.000,  7.000
0.180, 0.500, 0.4,  2.020,  1.407,  0.099,  0.000,  6.000
0.180, 0.500, 0.5,  1.915,  1.377,  0.097,  0.000,  6.000
0.200, 0.500, 0.1,  2.845,  1.824,  0.129,  0.000,  9.000
0.200, 0.500, 0.2,  2.515,  1.601,  0.113,  0.000,  7.000
0.200, 0.500, 0.3,  2.350,  1.565,  0.111,  0.000,  7.000
0.200, 0.500, 0.4,  2.195,  1.483,  0.105,  0.000,  7.000
0.200, 0.500, 0.5,  2.115,  1.464,  0.104,  0.000,  7.000
0.220, 0.500, 0.1,  3.155,  1.894,  0.134,  0.000, 10.000
0.220, 0.500, 0.2,  2.855,  1.850,  0.131,  0.000, 10.000
0.220, 0.500, 0.3,  2.605,  1.695,  0.120,  0.000,  9.000
0.220, 0.500, 0.4,  2.465,  1.635,  0.116,  0.000,  8.000
0.220, 0.500, 0.5,  2.310,  1.599,  0.113,  0.000,  7.000
0.240, 0.500, 0.1,  3.510,  2.005,  0.142,  0.000, 10.000
0.240, 0.500, 0.2,  3.120,  1.896,  0.134,  0.000, 10.000
0.240, 0.500, 0.3,  2.905,  1.882,  0.133,  0.000, 10.000
0.240, 0.500, 0.4,  2.710,  1.775,  0.126,  0.000,  9.000
0.240, 0.500, 0.5,  2.555,  1.655,  0.117,  0.000,  8.000
0.260, 0.500, 0.1,  3.845,  2.117,  0.150,  0.000, 10.000
0.260, 0.500, 0.2,  3.445,  2.027,  0.143,  0.000, 10.000
0.260, 0.500, 0.3,  3.170,  1.921,  0.136,  0.000, 10.000
0.260, 0.500, 0.4,  3.005,  1.909,  0.135,  0.000, 10.000
0.260, 0.500, 0.5,  2.855,  1.844,  0.130,  0.000, 10.000
0.280, 0.500, 0.1,  4.340,  2.315,  0.164,  0.000, 11.000
0.280, 0.500, 0.2,  3.745,  2.086,  0.148,  0.000, 10.000
0.280, 0.500, 0.3,  3.525,  2.022,  0.143,  0.000, 10.000
0.280, 0.500, 0.4,  3.260,  1.942,  0.137,  0.000, 10.000
0.280, 0.500, 0.5,  3.095,  1.919,  0.136,  0.000, 10.000
0.300, 0.500, 0.1,  4.875,  2.464,  0.174,  0.000, 11.000
0.300, 0.500, 0.2,  4.220,  2.255,  0.159,  0.000, 11.000
0.300, 0.500, 0.3,  3.780,  2.094,  0.148,  0.000, 10.000
0.300, 0.500, 0.4,  3.580,  2.043,  0.144,  0.000, 10.000
0.300, 0.500, 0.5,  3.380,  1.984,  0.140,  0.000, 10.000
0.320, 0.500, 0.1,  5.580,  2.659,  0.188,  0.000, 12.000
0.320, 0.500, 0.2,  4.730,  2.412,  0.171,  0.000, 11.000
0.320, 0.500, 0.3,  4.280,  2.284,  0.162,  0.000, 11.000
0.320, 0.500, 0.4,  3.945,  2.165,  0.153,  0.000, 11.000
0.320, 0.500, 0.5,  3.700,  2.072,  0.146,  0.000, 10.000
0.340, 0.500, 0.1,  6.425,  2.833,  0.200,  0.000, 14.000
0.340, 0.500, 0.2,  5.355,  2.558,  0.181,  0.000, 12.000
0.340, 0.500, 0.3,  4.810,  2.442,  0.173,  0.000, 11.000
0.340, 0.500, 0.4,  4.450,  2.368,  0.167,  0.000, 11.000
0.340, 0.500, 0.5,  4.140,  2.244,  0.159,  0.000, 11.000
0.360, 0.500, 0.1,  7.465,  2.984,  0.211,  1.000, 15.000
0.360, 0.500, 0.2,  6.135,  2.810,  0.199,  0.000, 12.000
0.360, 0.500, 0.3,  5.485,  2.643,  0.187,  0.000, 12.000
0.360, 0.500, 0.4,  4.985,  2.511,  0.178,  0.000, 12.000
0.360, 0.500, 0.5,  4.665,  2.411,  0.170,  0.000, 11.000
0.380, 0.500, 0.1,  8.545,  3.183,  0.225,  2.000, 17.000
0.380, 0.500, 0.2,  7.190,  2.961,  0.209,  1.000, 15.000
0.380, 0.500, 0.3,  6.310,  2.806,  0.198,  0.000, 14.000
0.380, 0.500, 0.4,  5.695,  2.722,  0.192,  0.000, 12.000
0.380, 0.500, 0.5,  5.250,  2.508,  0.177,  0.000, 12.000
0.400, 0.500, 0.1,  9.905,  3.324,  0.235,  3.000, 19.000
0.400, 0.500, 0.2,  8.200,  3.135,  0.222,  1.000, 16.000
0.400, 0.500, 0.3,  7.360,  2.972,  0.210,  1.000, 15.000
0.400, 0.500, 0.4,  6.605,  2.907,  0.206,  0.000, 14.000
0.400, 0.500, 0.5,  6.000,  2.773,  0.196,  0.000, 12.000
0.420, 0.500, 0.1, 11.595,  3.576,  0.253,  4.000, 21.000
0.420, 0.500, 0.2,  9.550,  3.376,  0.239,  2.000, 19.000
0.420, 0.500, 0.3,  8.380,  3.163,  0.224,  1.000, 16.000
0.420, 0.500, 0.4,  7.640,  2.977,  0.211,  1.000, 15.000
0.420, 0.500, 0.5,  7.005,  2.932,  0.207,  1.000, 15.000
0.440, 0.500, 0.1, 13.680,  4.007,  0.283,  5.000, 26.000
0.440, 0.500, 0.2, 11.015,  3.535,  0.250,  3.000, 20.000
0.440, 0.500, 0.3,  9.735,  3.350,  0.237,  3.000, 19.000
0.440, 0.500, 0.4,  8.860,  3.213,  0.227,  2.000, 17.000
0.440, 0.500, 0.5,  8.025,  3.107,  0.220,  1.000, 16.000
0.460, 0.500, 0.1, 15.935,  4.288,  0.303,  7.000, 28.000
0.460, 0.500, 0.2, 13.155,  3.910,  0.276,  5.000, 24.000
0.460, 0.500, 0.3, 11.360,  3.605,  0.255,  3.000, 21.000
0.460, 0.500, 0.4, 10.180,  3.358,  0.237,  3.000, 19.000
0.460, 0.500, 0.5,  9.340,  3.348,  0.237,  2.000, 19.000
0.480, 0.500, 0.1, 18.330,  4.601,  0.325,  8.000, 32.000
0.480, 0.500, 0.2, 15.305,  4.118,  0.291,  7.000, 27.000
0.480, 0.500, 0.3, 13.450,  3.977,  0.281,  5.000, 26.000
0.480, 0.500, 0.4, 11.920,  3.691,  0.261,  4.000, 22.000
0.480, 0.500, 0.5, 10.765,  3.461,  0.245,  3.000, 20.000
0.500, 0.500, 0.1, 20.750,  5.073,  0.359,  9.000, 37.000
0.500, 0.500, 0.2, 17.595,  4.500,  0.318,  8.000, 30.000
0.500, 0.500, 0.3, 15.670,  4.246,  0.300,  7.000, 28.000
0.500, 0.500, 0.4, 14.115,  4.114,  0.291,  6.000, 26.000
0.500, 0.500, 0.5, 12.760,  3.905,  0.276,  5.000, 23.000
0.000, 0.550, 0.1,  0.855,  0.964,  0.068,  0.000,  5.000
0.000, 0.550, 0.2,  0.670,  0.845,  0.060,  0.000,  4.000
0.000, 0.550, 0.3,  0.620,  0.830,  0.059,  0.000,  4.000
0.000, 0.550, 0.4,  0.575,  0.786,  0.056,  0.000,  4.000
0.000, 0.550, 0.5,  0.520,  0.743,  0.053,  0.000,  4.000
0.020, 0.550, 0.1,  1.015,  1.010,  0.071,  0.000,  5.000
0.020, 0.550, 0.2,  0.845,  0.978,  0.069,  0.000,  5.000
0.020, 0.550, 0.3,  0.705,  0.855,  0.060,  0.000,  4.000
0.020, 0.550, 0.4,  0.665,  0.840,  0.059,  0.000,  4.000
0.020, 0.550, 0.5,  0.630,  0.829,  0.059,  0.000,  4.000
0.040, 0.550, 0.1,  1.180,  1.115,  0.079,  0.000,  5.000
0.040, 0.550, 0.2,  1.005,  1.035,  0.073,  0.000,  5.000
0.040, 0.550, 0.3,  0.895,  0.994,  0.070,  0.000,  5.000
0.040, 0.550, 0.4,  0.755,  0.899,  0.064,  0.000,  4.000
0.040, 0.550, 0.5,  0.715,  0.882,  0.062,  0.000,  4.000
0.060, 0.550, 0.1,  1.380,  1.230,  0.087,  0.000,  6.000
0.060, 0.550, 0.2,  1.160,  1.096,  0.077,  0.000,  5.000
0.060, 0.550, 0.3,  1.030,  1.037,  0.073,  0.000,  5.000
0.060, 0.550, 0.4,  0.950,  1.011,  0.072,  0.000,  5.000
0.060, 0.550, 0.5,  0.835,  0.966,  0.068,  0.000,  5.000
0.080, 0.550, 0.1,  1.580,  1.305,  0.092,  0.000,  6.000
0.080, 0.550, 0.2,  1.390,  1.202,  0.085,  0.000,  6.000
0.080, 0.550, 0.3,  1.190,  1.091,  0.077,  0.000,  5.000
0.080, 0.550, 0.4,  1.105,  1.049,  0.074,  0.000,  5.000
0.080, 0.550, 0.5,  1.010,  1.022,  0.072,  0.000,  5.000
0.100, 0.550, 0.1,  1.800,  1.341,  0.095,  0.000,  6.000
0.100, 0.550, 0.2,  1.600,  1.296,  0.092,  0.000,  6.000
0.100, 0.550, 0.3,  1.430,  1.218,  0.086,  0.000,  6.000
0.100, 0.550, 0.4,  1.315,  1.146,  0.081,  0.000,  5.000
0.100, 0.550, 0.5,  1.185,  1.075,  0.076,  0.000,  5.000
0.120, 0.550, 0.1,  1.995,  1.412,  0.100,  0.000,  6.000
0.120, 0.550, 0.2,  1.775,  1.369,  0.097,  0.000,  6.000
0.120, 0.550, 0.3,  1.645,  1.341,  0.095,  0.000,  6.000
0.120, 0.550, 0.4,  1.520,  1.276,  0.090,  0.000,  6.000
0.120, 0.550, 0.5,  1.430,  1.238,  0.088,  0.000,  6.000
0.140, 0.550, 0.1,  2.180,  1.490,  0.105,  0.000,  7.000
0.140, 0.550, 0.2,  1.950,  1.377,  0.097,  0.000,  6.000
0.140, 0.550, 0.3,  1.845,  1.368,  0.097,  0.000,  6.000
0.140, 0.550, 0.4,  1.700,  1.367,  0.097,  0.000,  6.000
0.140, 0.550, 0.5,  1.615,  1.321,  0.093,  0.000,  6.000
0.160, 0.550, 0.1,  2.405,  1.566,  0.111,  0.000,  7.000
0.160, 0.550, 0.2,  2.160,  1.478,  0.105,  0.000,  7.000
0.160, 0.550, 0.3,  2.010,  1.407,  0.099,  0.000,  6.000
0.160, 0.550, 0.4,  1.895,  1.372,  0.097,  0.000,  6.000
0.160, 0.550, 0.5,  1.795,  1.383,  0.098,  0.000,  6.000
0.180, 0.550, 0.1,  2.695,  1.717,  0.121,  0.000,  8.000
0.180, 0.550, 0.2,  2.415,  1.567,  0.111,  0.000,  7.000
0.180, 0.550, 0.3,  2.210,  1.479,  0.105,  0.000,  7.000
0.180, 0.550, 0.4,  2.115,  1.460,  0.103,  0.000,  7.000
0.180, 0.550, 0.5,  1.970,  1.385,  0.098,  0.000,  6.000
0.200, 0.550, 0.1,  2.970,  1.848,  0.131,  0.000,  9.000
0.200, 0.550, 0.2,  2.645,  1.719,  0.122,  0.000,  8.000
0.200, 0.550, 0.3,  2.440,  1.587,  0.112,  0.000,  7.000
0.200, 0.550, 0.4,  2.295,  1.549,  0.110,  0.000,  7.000
0.200, 0.550, 0.5,  2.190,  1.488,  0.105,  0.000,  7.000
0.220, 0.550, 0.1,  3.300,  1.967,  0.139,  0.000, 10.000
0.220, 0.550, 0.2,  2.965,  1.887,  0.133,  0.000, 10.000
0.220, 0.550, 0.3,  2.730,  1.784,  0.126,  0.000, 10.000
0.220, 0.550, 0.4,  2.550,  1.650,  0.117,  0.000,  8.000
0.220, 0.550, 0.5,  2.415,  1.627,  0.115,  0.000,  7.000
0.240, 0.550, 0.1,  3.625,  2.048,  0.145,  0.000, 10.000
0.240, 0.550, 0.2,  3.235,  1.934,  0.137,  0.000, 10.000
0.240, 0.550, 0.3,  3.015,  1.903,  0.135,  0.000, 10.000
0.240, 0.550, 0.4,  2.855,  1.858,  0.131,  0.000, 10.000
0.240, 0.550, 0.5,  2.655,  1.721,  0.122,  0.000,  9.000
0.260, 0.550, 0.1,  4.085,  2.212,  0.156,  0.000, 11.000
0.260, 0.550, 0.2,  3.580,  2.048,  0.145,  0.000, 10.000
0.260, 0.550, 0.3,  3.300,  1.952,  0.138,  0.000, 10.000
0.260, 0.550, 0.4,  3.120,  1.930,  0.136,  0.000, 10.000
0.260, 0.550, 0.5,  2.945,  1.905,  0.135,  0.000, 10.000
0.280, 0.550, 0.1,  4.610,  2.416,  0.171,  0.000, 11.000
0.280, 0.550, 0.2,  3.940,  2.179,  0.154,  0.000, 11.000
0.280, 0.550, 0.3,  3.615,  2.064,  0.146,  0.000, 10.000
0.280, 0.550, 0.4,  3.415,  2.016,  0.143,  0.000, 10.000
0.280, 0.550, 0.5,  3.205,  1.924,  0.136,  0.000, 10.000
0.300, 0.550, 0.1,  5.170,  2.528,  0.179,  0.000, 12.000
0.300, 0.550, 0.2,  4.445,  2.357,  0.167,  0.000, 11.000
0.300, 0.550, 0.3,  4.025,  2.204,  0.156,  0.000, 11.000
0.300, 0.550, 0.4,  3.720,  2.084,  0.147,  0.000, 10.000
0.300, 0.550, 0.5,  3.540,  2.030,  0.144,  0.000, 10.000
0.320, 0.550, 0.1,  5.915,  2.772,  0.196,  0.000, 12.000
0.320, 0.550, 0.2,  4.970,  2.514,  0.178,  0.000, 12.000
0.320, 0.550, 0.3,  4.540,  2.368,  0.167,  0.000, 11.000
0.320, 0.550, 0.4,  4.180,  2.268,  0.160,  0.000, 11.000
0.320, 0.550, 0.5,  3.850,  2.121,  0.150,  0.000, 10.000
0.340, 0.550, 0.1,  6.870,  2.913,  0.206,  0.000, 14.000
0.340, 0.550, 0.2,  5.690,  2.720,  0.192,  0.000, 12.000
0.340, 0.550, 0.3,  5.080,  2.533,  0.179,  0.000, 12.000
0.340, 0.550, 0.4,  4.715,  2.432,  0.172,  0.000, 11.000
0.340, 0.550, 0.5,  4.360,  2.328,  0.165,  0.000, 11.000
0.360, 0.550, 0.1,  7.935,  3.028,  0.214,  1.000, 15.000
0.360, 0.550, 0.2,  6.580,  2.903,  0.205,  0.000, 14.000
0.360, 0.550, 0.3,  5.825,  2.759,  0.195,  0.000, 12.000
0.360, 0.550, 0.4,  5.315,  2.533,  0.179,  0.000, 12.000
0.360, 0.550, 0.5,  4.880,  2.473,  0.175,  0.000, 11.000
0.380, 0.550, 0.1,  9.245,  3.341,  0.236,  2.000, 18.000
0.380, 0.550, 0.2,  7.645,  2.989,  0.211,  1.000, 15.000
0.380, 0.550, 0.3,  6.745,  2.925,  0.207,  0.000, 14.000
0.380, 0.550, 0.4,  6.070,  2.817,  0.199,  0.000, 12.000
0.380, 0.550, 0.5,  5.590,  2.679,  0.189,  0.000, 12.000
0.400, 0.550, 0.1, 10.620,  3.469,  0.245,  3.000, 19.000
0.400, 0.550, 0.2,  8.865,  3.215,  0.227,  2.000, 18.000
0.400, 0.550, 0.3,  7.810,  2.996,  0.212,  1.000, 15.000
0.400, 0.550, 0.4,  7.105,  2.970,  0.210,  1.000, 15.000
0.400, 0.550, 0.5,  6.440,  2.853,  0.202,  0.000, 14.000
0.420, 0.550, 0.1, 12.580,  3.864,  0.273,  4.000, 23.000
0.420, 0.550, 0.2, 10.185,  3.378,  0.239,  3.000, 19.000
0.420, 0.550, 0.3,  9.050,  3.280,  0.232,  2.000, 18.000
0.420, 0.550, 0.4,  8.125,  3.124,  0.221,  1.000, 16.000
0.420, 0.550, 0.5,  7.485,  2.984,  0.211,  1.000, 15.000
0.440, 0.550, 0.1, 14.735,  4.145,  0.293,  7.000, 26.000
0.440, 0.550, 0.2, 11.910,  3.681,  0.260,  4.000, 22.000
0.440, 0.550, 0.3, 10.425,  3.378,  0.239,  3.000, 19.000
0.440, 0.550, 0.4,  9.490,  3.371,  0.238,  2.000, 19.000
0.440, 0.550, 0.5,  8.585,  3.227,  0.228,  2.000, 18.000
0.460, 0.550, 0.1, 16.965,  4.484,  0.317,  8.000, 29.000
0.460, 0.550, 0.2, 14.130,  4.159,  0.294,  6.000, 26.000
0.460, 0.550, 0.3, 12.265,  3.764,  0.266,  4.000, 23.000
0.460, 0.550, 0.4, 10.925,  3.536,  0.250,  3.000, 20.000
0.460, 0.550, 0.5,  9.955,  3.339,  0.236,  3.000, 19.000
0.480, 0.550, 0.1, 19.390,  4.882,  0.345,  9.000, 36.000
0.480, 0.550, 0.2, 16.335,  4.348,  0.307,  8.000, 29.000
0.480, 0.550, 0.3, 14.480,  4.218,  0.298,  6.000, 26.000
0.480, 0.550, 0.4, 12.980,  3.962,  0.280,  5.000, 24.000
0.480, 0.550, 0.5, 11.650,  3.610,  0.255,  4.000, 21.000
0.500, 0.550, 0.1, 22.210,  5.352,  0.378, 10.000, 37.000
0.500, 0.550, 0.2, 18.780,  4.727,  0.334,  8.000, 32.000
0.500, 0.550, 0.3, 16.710,  4.421,  0.313,  8.000, 29.000
0.500, 0.550, 0.4, 15.140,  4.213,  0.298,  7.000, 28.000
0.500, 0.550, 0.5, 13.725,  4.036,  0.285,  5.000, 26.000
0.000, 0.600, 0.1,  0.900,  0.992,  0.070,  0.000,  5.000
0.000, 0.600, 0.2,  0.705,  0.879,  0.062,  0.000,  4.000
0.000, 0.600, 0.3,  0.650,  0.855,  0.060,  0.000,  4.000
0.000, 0.600, 0.4,  0.610,  0.831,  0.059,  0.000,  4.000
0.000, 0.600, 0.5,  0.565,  0.780,  0.055,  0.000,  4.000
0.020, 0.600, 0.1,  1.070,  1.049,  0.074,  0.000,  5.000
0.020, 0.600, 0.2,  0.895,  0.989,  0.070,  0.000,  5.000
0.020, 0.600, 0.3,  0.750,  0.895,  0.063,  0.000,  4.000
0.020, 0.600, 0.4,  0.695,  0.864,  0.061,  0.000,  4.000
0.020, 0.600, 0.5,  0.655,  0.848,  0.060,  0.000,  4.000
0.040, 0.600, 0.1,  1.310,  1.192,  0.084,  0.000,  5.000
0.040, 0.600, 0.2,  1.075,  1.065,  0.075,  0.000,  5.000
0.040, 0.600, 0.3,  0.950,  1.016,  0.072,  0.000,  5.000
0.040, 0.600, 0.4,  0.840,  0.979,  0.069,  0.000,  5.000
0.040, 0.600, 0.5,  0.750,  0.890,  0.063,  0.000,  4.000
0.060, 0.600, 0.1,  1.490,  1.284,  0.091,  0.000,  6.000
0.060, 0.600, 0.2,  1.240,  1.140,  0.081,  0.000,  5.000
0.060, 0.600, 0.3,  1.100,  1.066,  0.075,  0.000,  5.000
0.060, 0.600, 0.4,  0.995,  1.039,  0.073,  0.000,  5.000
0.060, 0.600, 0.5,  0.925,  1.002,  0.071,  0.000,  5.000
0.080, 0.600, 0.1,  1.645,  1.333,  0.094,  0.000,  6.000
0.080, 0.600, 0.2,  1.445,  1.235,  0.087,  0.000,  6.000
0.080, 0.600, 0.3,  1.305,  1.148,  0.081,  0.000,  5.000
0.080, 0.600, 0.4,  1.170,  1.090,  0.077,  0.000,  5.000
0.080, 0.600, 0.5,  1.090,  1.033,  0.073,  0.000,  5.000
0.100, 0.600, 0.1,  1.855,  1.335,  0.094,  0.000,  6.000
0.100, 0.600, 0.2,  1.650,  1.329,  0.094,  0.000,  6.000
0.100, 0.600, 0.3,  1.540,  1.283,  0.091,  0.000,  6.000
0.100, 0.600, 0.4,  1.410,  1.216,  0.086,  0.000,  6.000
0.100, 0.600, 0.5,  1.260,  1.126,  0.080,  0.000,  5.000
0.120, 0.600, 0.1,  2.060,  1.465,  0.104,  0.000,  7.000
0.120, 0.600, 0.2,  1.850,  1.363,  0.096,  0.000,  6.000
0.120, 0.600, 0.3,  1.710,  1.362,  0.096,  0.000,  6.000
0.120, 0.600, 0.4,  1.615,  1.306,  0.092,  0.000,  6.000
0.120, 0.600, 0.5,  1.485,  1.264,  0.089,  0.000,  6.000
0.140, 0.600, 0.1,  2.280,  1.554,  0.110,  0.000,  7.000
0.140, 0.600, 0.2,  2.070,  1.455,  0.103,  0.000,  7.000
0.140, 0.600, 0.3,  1.900,  1.375,  0.097,  0.000,  6.000
0.140, 0.600, 0.4,  1.785,  1.374,  0.097,  0.000,  6.000
0.140, 0.600, 0.5,  1.675,  1.356,  0.096,  0.000,  6.000
0.160, 0.600, 0.1,  2.500,  1.591,  0.113,  0.000,  7.000
0.160, 0.600, 0.2,  2.250,  1.533,  0.108,  0.000,  7.000
0.160, 0.600, 0.3,  2.120,  1.482,  0.105,  0.000,  7.000
0.160, 0.600, 0.4,  1.965,  1.387,  0.098,  0.000,  6.000
0.160, 0.600, 0.5,  1.875,  1.385,  0.098,  0.000,  6.000
0.180, 0.600, 0.1,  2.815,  1.796,  0.127,  0.000,  8.000
0.180, 0.600, 0.2,  2.485,  1.579,  0.112,  0.000,  7.000
0.180, 0.600, 0.3,  2.310,  1.554,  0.110,  0.000,  7.000
0.180, 0.600, 0.4,  2.190,  1.485,  0.105,  0.000,  7.000
0.180, 0.600, 0.5,  2.090,  1.440,  0.102,  0.000,  6.000
0.200, 0.600, 0.1,  3.090,  1.854,  0.131,  0.000,  9.000
0.200, 0.600, 0.2,  2.775,  1.772,  0.125,  0.000,  9.000
0.200, 0.600, 0.3,  2.525,  1.601,  0.113,  0.000,  7.000
0.200, 0.600, 0.4,  2.410,  1.576,  0.111,  0.000,  7.000
0.200, 0.600, 0.5,  2.245,  1.502,  0.106,  0.000,  7.000
0.220, 0.600, 0.1,  3.475,  2.015,  0.142,  0.000, 10.000
0.220, 0.600, 0.2,  3.070,  1.903,  0.135,  0.000, 10.000
0.220, 0.600, 0.3,  2.865,  1.853,  0.131,  0.000, 10.000
0.220, 0.600, 0.4,  2.665,  1.737,  0.123,  0.000,  9.000
0.220, 0.600, 0.5,  2.505,  1.641,  0.116,  0.000,  8.000
0.240, 0.600, 0.1,  3.780,  2.091,  0.148,  0.000, 10.000
0.240, 0.600, 0.2,  3.385,  1.979,  0.140,  0.000, 10.000
0.240, 0.600, 0.3,  3.140,  1.908,  0.135,  0.000, 10.000
0.240, 0.600, 0.4,  2.945,  1.897,  0.134,  0.000, 10.000
0.240, 0.600, 0.5,  2.780,  1.797,  0.127,  0.000, 10.000
0.260, 0.600, 0.1,  4.305,  2.304,  0.163,  0.000, 11.000
0.260, 0.600, 0.2,  3.735,  2.090,  0.148,  0.000, 10.000
0.260, 0.600, 0.3,  3.475,  2.042,  0.144,  0.000, 10.000
0.260, 0.600, 0.4,  3.230,  1.925,  0.136,  0.000, 10.000
0.260, 0.600, 0.5,  3.065,  1.926,  0.136,  0.000, 10.000
0.280, 0.600, 0.1,  4.820,  2.433,  0.172,  0.000, 11.000
0.280, 0.600, 0.2,  4.175,  2.261,  0.160,  0.000, 11.000
0.280, 0.600, 0.3,  3.780,  2.103,  0.149,  0.000, 10.000
0.280, 0.600, 0.4,  3.580,  2.055,  0.145,  0.000, 10.000
0.280, 0.600, 0.5,  3.345,  1.976,  0.140,  0.000, 10.000
0.300, 0.600, 0.1,  5.500,  2.649,  0.187,  0.000, 12.000
0.300, 0.600, 0.2,  4.715,  2.428,  0.172,  0.000, 11.000
0.300, 0.600, 0.3,  4.255,  2.271,  0.161,  0.000, 11.000
0.300, 0.600, 0.4,  3.910,  2.160,  0.153,  0.000, 10.000
0.300, 0.600, 0.5,  3.655,  2.068,  0.146,  0.000, 10.000
0.320, 0.600, 0.1,  6.275,  2.823,  0.200,  0.000, 13.000
0.320, 0.600, 0.2,  5.310,  2.539,  0.180,  0.000, 12.000
0.320, 0.600, 0.3,  4.775,  2.432,  0.172,  0.000, 11.000
0.320, 0.600, 0.4,  4.405,  2.349,  0.166,  0.000, 11.000
0.320, 0.600, 0.5,  4.090,  2.204,  0.156,  0.000, 11.000
0.340, 0.600, 0.1,  7.400,  2.972,  0.210,  1.000, 15.000
0.340, 0.600, 0.2,  6.060,  2.796,  0.198,  0.000, 12.000
0.340, 0.600, 0.3,  5.405,  2.587,  0.183,  0.000, 12.000
0.340, 0.600, 0.4,  4.935,  2.498,  0.177,  0.000, 11.000
0.340, 0.600, 0.5,  4.615,  2.386,  0.169,  0.000, 11.000
0.360, 0.600, 0.1,  8.420,  3.176,  0.225,  1.000, 17.000
0.360, 0.600, 0.2,  7.085,  2.951,  0.209,  1.000, 15.000
0.360, 0.600, 0.3,  6.185,  2.825,  0.200,  0.000, 12.000
0.360, 0.600, 0.4,  5.655,  2.710,  0.192,  0.000, 12.000
0.360, 0.600, 0.5,  5.175,  2.523,  0.178,  0.000, 12.000
0.380, 0.600, 0.1,  9.805,  3.355,  0.237,  2.000, 19.000
0.380, 0.600, 0.2,  8.135,  3.098,  0.219,  1.000, 16.000
0.380, 0.600, 0.3,  7.260,  2.962,  0.209,  1.000, 15.000
0.380, 0.600, 0.4,  6.515,  2.860,  0.202,  0.000, 14.000
0.380, 0.600, 0.5,  5.930,  2.761,  0.195,  0.000, 12.000
0.400, 0.600, 0.1, 11.400,  3.592,  0.254,  3.000, 20.000
0.400, 0.600, 0.2,  9.485,  3.379,  0.239,  2.000, 19.000
0.400, 0.600, 0.3,  8.305,  3.139,  0.222,  1.000, 16.000
0.400, 0.600, 0.4,  7.560,  2.982,  0.211,  1.000, 15.000
