SLR (m), Pchng (cm), pi, N_d, SD, SE
0.5,0,0.2,9.565,3.076,0.218
0.5,0,0.3,8.35,2.888,0.204
0.5,0,0.4,7.585,2.806,0.198
0.5,0,0.5,6.945,2.657,0.188
0,0.1,0.1,0.86,1.042,0.074
0,0.1,0.2,0.66,0.871,0.062
0,0.1,0.3,0.6,0.845,0.06
0,0.1,0.4,0.55,0.788,0.056
0,0.1,0.5,0.5,0.737,0.052
0.02,0.1,0.1,1.005,1.114,0.079
0.02,0.1,0.2,0.795,0.963,0.068
0.02,0.1,0.3,0.68,0.878,0.062
0.02,0.1,0.4,0.635,0.852,0.06
0.02,0.1,0.5,0.575,0.811,0.057
0.04,0.1,0.1,1.12,1.172,0.083
0.04,0.1,0.2,0.945,1.09,0.077
0.04,0.1,0.3,0.805,0.97,0.069
0.04,0.1,0.4,0.7,0.891,0.063
0.04,0.1,0.5,0.655,0.866,0.061
0.06,0.1,0.1,1.305,1.216,0.086
0.06,0.1,0.2,1.1,1.152,0.081
0.06,0.1,0.3,0.98,1.125,0.08
0.06,0.1,0.4,0.86,1.008,0.071
0.06,0.1,0.5,0.77,0.97,0.069
0.08,0.1,0.1,1.49,1.288,0.091
0.08,0.1,0.2,1.235,1.236,0.087
0.08,0.1,0.3,1.115,1.166,0.082
0.08,0.1,0.4,1.015,1.145,0.081
0.08,0.1,0.5,0.92,1.067,0.075
0.1,0.1,0.1,1.67,1.353,0.096
0.1,0.1,0.2,1.435,1.278,0.09
0.1,0.1,0.3,1.27,1.251,0.088
0.1,0.1,0.4,1.175,1.213,0.086
0.1,0.1,0.5,1.085,1.172,0.083
0.12,0.1,0.1,1.935,1.453,0.103
0.12,0.1,0.2,1.62,1.332,0.094
0.12,0.1,0.3,1.46,1.287,0.091
0.12,0.1,0.4,1.32,1.255,0.089
0.12,0.1,0.5,1.225,1.242,0.088
0.14,0.1,0.1,2.25,1.529,0.108
0.14,0.1,0.2,1.83,1.415,0.1
0.14,0.1,0.3,1.66,1.35,0.095
0.14,0.1,0.4,1.525,1.326,0.094
0.14,0.1,0.5,1.405,1.268,0.09
0.16,0.1,0.1,2.56,1.609,0.114
0.16,0.1,0.2,2.12,1.482,0.105
0.16,0.1,0.3,1.865,1.395,0.099
0.16,0.1,0.4,1.72,1.357,0.096
0.16,0.1,0.5,1.615,1.321,0.093
0.18,0.1,0.1,2.815,1.657,0.117
0.18,0.1,0.2,2.43,1.577,0.112
0.18,0.1,0.3,2.15,1.5,0.106
0.18,0.1,0.4,1.955,1.433,0.101
0.18,0.1,0.5,1.785,1.392,0.098
0.2,0.1,0.1,3.11,1.707,0.121
0.2,0.1,0.2,2.73,1.668,0.118
0.2,0.1,0.3,2.46,1.588,0.112
0.2,0.1,0.4,2.215,1.517,0.107
0.2,0.1,0.5,2.045,1.488,0.105
0.22,0.1,0.1,3.325,1.762,0.125
0.22,0.1,0.2,3.015,1.685,0.119
0.22,0.1,0.3,2.73,1.668,0.118
0.22,0.1,0.4,2.51,1.588,0.112
0.22,0.1,0.5,2.32,1.543,0.109
0.24,0.1,0.1,3.62,1.874,0.133
0.24,0.1,0.2,3.205,1.72,0.122
0.24,0.1,0.3,3.015,1.685,0.119
0.24,0.1,0.4,2.765,1.665,0.118
0.24,0.1,0.5,2.6,1.647,0.116
0.26,0.1,0.1,3.93,1.948,0.138
0.26,0.1,0.2,3.485,1.818,0.129
0.26,0.1,0.3,3.205,1.72,0.122
0.26,0.1,0.4,3.05,1.689,0.119
0.26,0.1,0.5,2.825,1.676,0.118
0.28,0.1,0.1,4.32,2.093,0.148
